time,open,high,low,close,tick_volume,spread,real_volume
2025-06-06 14:00:00,144.075,144.139,144.044,144.124,797,13,0
2025-06-06 14:15:00,144.125,144.178,144.109,144.15,686,13,0
2025-06-06 14:30:00,144.149,144.173,144.068,144.132,888,13,0
2025-06-06 14:45:00,144.131,144.172,144.115,144.147,1048,13,0
2025-06-06 15:00:00,144.146,144.327,144.127,144.298,1007,6,0
2025-06-06 15:15:00,144.298,144.306,144.198,144.221,1094,14,0
2025-06-06 15:30:00,144.221,144.733,144.072,144.503,2712,13,0
2025-06-06 15:45:00,144.502,144.615,144.42,144.615,2219,13,0
2025-06-06 16:00:00,144.616,144.77,144.545,144.63,1905,13,0
2025-06-06 16:15:00,144.63,144.888,144.576,144.86,1812,13,0
2025-06-06 16:30:00,144.87,144.952,144.733,144.932,2094,13,0
2025-06-06 16:45:00,144.935,144.964,144.801,144.899,2080,13,0
2025-06-06 17:00:00,144.899,144.975,144.794,144.836,1961,13,0
2025-06-06 17:15:00,144.832,144.935,144.61,144.66,1892,13,0
2025-06-06 17:30:00,144.661,144.828,144.648,144.818,1593,13,0
2025-06-06 17:45:00,144.818,145.011,144.816,144.891,1728,13,0
2025-06-06 18:00:00,144.89,145.079,144.878,145.051,1721,13,0
2025-06-06 18:15:00,145.051,145.056,144.858,144.881,1906,13,0
2025-06-06 18:30:00,144.881,144.907,144.756,144.796,1468,13,0
2025-06-06 18:45:00,144.795,144.87,144.776,144.868,1068,13,0
2025-06-06 19:00:00,144.868,144.911,144.83,144.91,1089,13,0
2025-06-06 19:15:00,144.91,144.92,144.807,144.92,1137,13,0
2025-06-06 19:30:00,144.917,144.973,144.886,144.899,1278,13,0
2025-06-06 19:45:00,144.899,144.956,144.87,144.955,1160,13,0
2025-06-06 20:00:00,144.954,144.959,144.829,144.861,1121,13,0
2025-06-06 20:15:00,144.861,144.905,144.838,144.885,873,13,0
2025-06-06 20:30:00,144.882,144.955,144.873,144.933,838,13,0
2025-06-06 20:45:00,144.932,144.94,144.819,144.859,696,16,0
2025-06-06 21:00:00,144.859,144.898,144.829,144.88,957,13,0
2025-06-06 21:15:00,144.887,144.895,144.828,144.848,820,13,0
2025-06-06 21:30:00,144.85,144.887,144.801,144.84,1060,13,0
2025-06-06 21:45:00,144.842,144.87,144.827,144.84,707,14,0
2025-06-06 22:00:00,144.84,144.84,144.774,144.785,774,15,0
2025-06-06 22:15:00,144.785,144.822,144.767,144.814,630,15,0
2025-06-06 22:30:00,144.813,144.829,144.782,144.788,613,14,0
2025-06-06 22:45:00,144.787,144.816,144.759,144.779,659,0,0
2025-06-06 23:00:00,144.779,144.815,144.775,144.814,318,6,0
2025-06-06 23:15:00,144.814,144.816,144.791,144.801,268,17,0
2025-06-06 23:30:00,144.8,144.862,144.798,144.848,264,15,0
2025-06-06 23:45:00,144.848,144.882,144.799,144.802,345,17,0
2025-06-09 00:00:00,144.821,144.826,144.741,144.781,76,14,0
2025-06-09 00:15:00,144.781,144.795,144.764,144.795,43,37,0
2025-06-09 00:30:00,144.795,144.795,144.769,144.792,42,38,0
2025-06-09 00:45:00,144.792,144.796,144.749,144.766,46,37,0
2025-06-09 01:00:00,144.756,144.781,144.689,144.705,351,13,0
2025-06-09 01:15:00,144.704,144.709,144.69,144.698,369,16,0
2025-06-09 01:30:00,144.698,144.699,144.642,144.674,588,13,0
2025-06-09 01:45:00,144.675,144.723,144.673,144.683,512,13,0
2025-06-09 02:00:00,144.684,144.688,144.603,144.625,757,15,0
2025-06-09 02:15:00,144.626,144.675,144.621,144.625,543,13,0
2025-06-09 02:30:00,144.624,144.708,144.592,144.706,415,14,0
2025-06-09 02:45:00,144.706,144.739,144.663,144.686,593,16,0
2025-06-09 03:00:00,144.685,144.688,144.57,144.655,981,13,0
2025-06-09 03:15:00,144.656,144.816,144.656,144.795,918,13,0
2025-06-09 03:30:00,144.793,144.793,144.634,144.762,968,13,0
2025-06-09 03:45:00,144.756,144.94,144.75,144.93,1317,13,0
2025-06-09 04:00:00,144.93,144.93,144.712,144.73,1072,13,0
2025-06-09 04:15:00,144.73,144.773,144.56,144.63,865,13,0
2025-06-09 04:30:00,144.63,144.676,144.543,144.562,889,13,0
2025-06-09 04:45:00,144.561,144.563,144.466,144.534,892,13,0
2025-06-09 05:00:00,144.534,144.56,144.381,144.405,1115,13,0
2025-06-09 05:15:00,144.405,144.474,144.34,144.382,804,13,0
2025-06-09 05:30:00,144.382,144.46,144.364,144.436,667,13,0
2025-06-09 05:45:00,144.436,144.498,144.405,144.49,698,13,0
2025-06-09 06:00:00,144.49,144.493,144.353,144.355,748,14,0
2025-06-09 06:15:00,144.354,144.462,144.344,144.447,643,15,0
2025-06-09 06:30:00,144.45,144.501,144.437,144.49,582,13,0
2025-06-09 06:45:00,144.488,144.499,144.426,144.484,529,13,0
2025-06-09 07:00:00,144.484,144.487,144.407,144.436,494,13,0
2025-06-09 07:15:00,144.436,144.449,144.384,144.414,456,13,0
2025-06-09 07:30:00,144.414,144.46,144.372,144.409,550,13,0
2025-06-09 07:45:00,144.41,144.434,144.343,144.372,498,13,0
2025-06-09 08:00:00,144.372,144.401,144.342,144.374,596,13,0
2025-06-09 08:15:00,144.373,144.486,144.371,144.457,641,13,0
